# Region type : patch inlet
# Faces  :      1347
# Area   :      1.67632194e-04
# Time          	sum(phi)
0.000764        	-2.74701818e-05
0.000768        	-2.76042278e-05
0.000772        	-2.77381267e-05
0.000776        	-2.78718855e-05
0.00078         	-2.80054956e-05
0.000784        	-2.81389368e-05
0.000788        	-2.82721943e-05
0.000792        	-2.84052420e-05
0.000796        	-2.85380758e-05
0.0008          	-2.86706886e-05
0.000804        	-2.88030743e-05
0.000808        	-2.89352451e-05
0.000812        	-2.90671989e-05
0.000816        	-2.91989347e-05
0.00082         	-2.93304644e-05
0.000824        	-2.94618018e-05
0.000828        	-2.95929736e-05
0.000832        	-2.97239976e-05
0.000836        	-2.98548715e-05
0.00084         	-2.99855818e-05
0.000844        	-3.01161180e-05
0.000848        	-3.02464749e-05
0.000852        	-3.03766477e-05
0.000856        	-3.05066301e-05
0.00086         	-3.06364227e-05
0.000864        	-3.07660299e-05
0.000868        	-3.08954576e-05
0.000872        	-3.10247119e-05
0.000876        	-3.11537958e-05
0.00088         	-3.12827089e-05
0.000884        	-3.14114500e-05
0.000888        	-3.15400131e-05
0.000892        	-3.16684041e-05
0.000896        	-3.17966461e-05
0.0009          	-3.19247673e-05
0.000904        	-3.20527719e-05
0.000908        	-3.21806526e-05
0.000912        	-3.23083986e-05
0.000916        	-3.24359870e-05
0.00092         	-3.25634049e-05
0.000924        	-3.26906539e-05
0.000928        	-3.28177238e-05
0.000932        	-3.29446001e-05
0.000936        	-3.30712917e-05
0.00094         	-3.31978042e-05
0.000944        	-3.33241491e-05
0.000948        	-3.34503266e-05
0.000952        	-3.35763490e-05
0.000956        	-3.37022231e-05
0.00096         	-3.38279713e-05
0.000964        	-3.39536141e-05
0.000968        	-3.40791703e-05
0.000972        	-3.42046528e-05
0.000976        	-3.43300539e-05
0.00098         	-3.44553598e-05
0.000984        	-3.45805430e-05
0.000988        	-3.47055731e-05
0.000992        	-3.48304284e-05
0.000996        	-3.49551103e-05
0.001           	-3.50796187e-05
0.001004        	-3.52039605e-05
0.001008        	-3.53281501e-05
0.001012        	-3.54521812e-05
0.001016        	-3.55760390e-05
0.00102         	-3.56997023e-05
0.001024        	-3.58231568e-05
0.001028        	-3.59463960e-05
0.001032        	-3.60694423e-05
0.001036        	-3.61923241e-05
0.00104         	-3.63150530e-05
0.001044        	-3.64376294e-05
0.001048        	-3.65600520e-05
0.001052        	-3.66823222e-05
0.001056        	-3.68044420e-05
0.00106         	-3.69263999e-05
0.001064        	-3.70481833e-05
0.001068        	-3.71697926e-05
0.001072        	-3.72912255e-05
0.001076        	-3.74124771e-05
0.00108         	-3.75335519e-05
0.001084        	-3.76544547e-05
0.001088        	-3.77751889e-05
0.001092        	-3.78957582e-05
0.001096        	-3.80161897e-05
0.0011          	-3.81365284e-05
0.001104        	-3.82567950e-05
0.001108        	-3.83769931e-05
0.001112        	-3.84970996e-05
0.001116        	-3.86170841e-05
0.00112         	-3.87369188e-05
0.001124        	-3.88565692e-05
0.001128        	-3.89759884e-05
0.001132        	-3.90951365e-05
0.001136        	-3.92140143e-05
0.00114         	-3.93326195e-05
0.001144        	-3.94509800e-05
0.001148        	-3.95691256e-05
0.001152        	-3.96870690e-05
0.001156        	-3.98048123e-05
0.00116         	-3.99223575e-05
0.001164        	-4.00397165e-05
0.001168        	-4.01569208e-05
0.001172        	-4.02740275e-05
0.001176        	-4.03910643e-05
0.00118         	-4.05080160e-05
0.001184        	-4.06248638e-05
0.001188        	-4.07415996e-05
0.001192        	-4.08582186e-05
0.001196        	-4.09747062e-05
0.0012          	-4.10910453e-05
0.001204        	-4.12072290e-05
0.001208        	-4.13232567e-05
0.001212        	-4.14391268e-05
0.001216        	-4.15548449e-05
0.00122         	-4.16704236e-05
0.001224        	-4.17858885e-05
0.001228        	-4.19012735e-05
0.001232        	-4.20165840e-05
0.001236        	-4.21318108e-05
0.00124         	-4.22469443e-05
0.001244        	-4.23619898e-05
0.001248        	-4.24769936e-05
0.001252        	-4.25919576e-05
0.001256        	-4.27068738e-05
0.00126         	-4.28216934e-05
0.001264        	-4.29363730e-05
0.001268        	-4.30508972e-05
0.001272        	-4.31652635e-05
0.001276        	-4.32794655e-05
0.00128         	-4.33934981e-05
0.001284        	-4.35073352e-05
0.001288        	-4.36209568e-05
0.001292        	-4.37343818e-05
0.001296        	-4.38476335e-05
0.0013          	-4.39607261e-05
0.001304        	-4.40736590e-05
0.001308        	-4.41864504e-05
0.001312        	-4.42991489e-05
0.001316        	-4.44118014e-05
0.00132         	-4.45244250e-05
0.001324        	-4.46370049e-05
0.001328        	-4.47495127e-05
0.001332        	-4.48619226e-05
0.001336        	-4.49742295e-05
0.00134         	-4.50864622e-05
0.001344        	-4.51986297e-05
0.001348        	-4.53107383e-05
0.001352        	-4.54227866e-05
0.001356        	-4.55347853e-05
0.00136         	-4.56467639e-05
0.001364        	-4.57587301e-05
0.001368        	-4.58706790e-05
0.001372        	-4.59826272e-05
0.001376        	-4.60946110e-05
0.00138         	-4.62066655e-05
0.001384        	-4.63188109e-05
0.001388        	-4.64310837e-05
0.001392        	-4.65434856e-05
0.001396        	-4.66560116e-05
0.0014          	-4.67686502e-05
0.001404        	-4.68813672e-05
0.001408        	-4.69941259e-05
0.001412        	-4.71068983e-05
0.001416        	-4.72196605e-05
0.00142         	-4.73323813e-05
0.001424        	-4.74450716e-05
0.001428        	-4.75577587e-05
0.001432        	-4.76704574e-05
0.001436        	-4.77831712e-05
0.00144         	-4.78959244e-05
0.001444        	-4.80087478e-05
0.001448        	-4.81216493e-05
0.001452        	-4.82346304e-05
0.001456        	-4.83477648e-05
0.00146         	-4.84611114e-05
0.001464        	-4.85746565e-05
0.001468        	-4.86883832e-05
0.001472        	-4.88022866e-05
0.001476        	-4.89163328e-05
0.00148         	-4.90304791e-05
0.001484        	-4.91446795e-05
0.001488        	-4.92589195e-05
0.001492        	-4.93731765e-05
0.001496        	-4.94874461e-05
0.0015          	-4.96017486e-05
0.001504        	-4.97161255e-05
0.001508        	-4.98306058e-05
0.001512        	-4.99451483e-05
0.001516        	-5.00597028e-05
0.00152         	-5.01742792e-05
0.001524        	-5.02889491e-05
0.001528        	-5.04037714e-05
0.001532        	-5.05187794e-05
0.001536        	-5.06339675e-05
0.00154         	-5.07492618e-05
0.001544        	-5.08645894e-05
0.001548        	-5.09799663e-05
0.001552        	-5.10954193e-05
0.001556        	-5.12109581e-05
0.00156         	-5.13265689e-05
0.001564        	-5.14422125e-05
0.001568        	-5.15578473e-05
0.001572        	-5.16734352e-05
0.001576        	-5.17889610e-05
0.00158         	-5.19044310e-05
0.001584        	-5.20198554e-05
0.001588        	-5.21352499e-05
0.001592        	-5.22506379e-05
0.001596        	-5.23660237e-05
0.0016          	-5.24814069e-05
0.001604        	-5.25967769e-05
0.001608        	-5.27121033e-05
0.001612        	-5.28273785e-05
0.001616        	-5.29426312e-05
0.00162         	-5.30578693e-05
0.001624        	-5.31731135e-05
0.001628        	-5.32883799e-05
0.001632        	-5.34036883e-05
0.001636        	-5.35190639e-05
0.00164         	-5.36345041e-05
0.001644        	-5.37500260e-05
0.001648        	-5.38656212e-05
0.001652        	-5.39812422e-05
0.001656        	-5.40968390e-05
0.00166         	-5.42123609e-05
0.001664        	-5.43277483e-05
0.001668        	-5.44429507e-05
0.001672        	-5.45580480e-05
0.001676        	-5.46731268e-05
0.00168         	-5.47882898e-05
0.001684        	-5.49035798e-05
0.001688        	-5.50189767e-05
0.001692        	-5.51344051e-05
0.001696        	-5.52497743e-05
0.0017          	-5.53650681e-05
0.001704        	-5.54803644e-05
0.001708        	-5.55957070e-05
0.001712        	-5.57111088e-05
0.001716        	-5.58265634e-05
0.00172         	-5.59420725e-05
0.001724        	-5.60576430e-05
0.001728        	-5.61732615e-05
0.001732        	-5.62888795e-05
0.001736        	-5.64044530e-05
0.00174         	-5.65199505e-05
0.001744        	-5.66353466e-05
0.001748        	-5.67506055e-05
0.001752        	-5.68657283e-05
0.001756        	-5.69807447e-05
0.00176         	-5.70956688e-05
0.001764        	-5.72104857e-05
0.001768        	-5.73251859e-05
0.001772        	-5.74398035e-05
0.001776        	-5.75543694e-05
0.00178         	-5.76688885e-05
0.001784        	-5.77833433e-05
0.001788        	-5.78977088e-05
0.001792        	-5.80119675e-05
0.001796        	-5.81260879e-05
0.0018          	-5.82400244e-05
0.001804        	-5.83537644e-05
0.001808        	-5.84673774e-05
0.001812        	-5.85809067e-05
0.001816        	-5.86943442e-05
0.00182         	-5.88076772e-05
0.001824        	-5.89208978e-05
0.001828        	-5.90339798e-05
0.001832        	-5.91468772e-05
0.001836        	-5.92596276e-05
0.00184         	-5.93722662e-05
0.001844        	-5.94847911e-05
0.001848        	-5.95971856e-05
0.001852        	-5.97094128e-05
0.001856        	-5.98214547e-05
0.00186         	-5.99333125e-05
0.001864        	-6.00449818e-05
0.001868        	-6.01564438e-05
0.001872        	-6.02677008e-05
0.001876        	-6.03787833e-05
0.00188         	-6.04897025e-05
0.001884        	-6.06004456e-05
0.001888        	-6.07109903e-05
0.001892        	-6.08213312e-05
0.001896        	-6.09314599e-05
0.0019          	-6.10413801e-05
0.001904        	-6.11511079e-05
0.001908        	-6.12606726e-05
0.001912        	-6.13701123e-05
0.001916        	-6.14794473e-05
0.00192         	-6.15886838e-05
0.001924        	-6.16978176e-05
0.001928        	-6.18068406e-05
0.001932        	-6.19157339e-05
0.001936        	-6.20244958e-05
0.00194         	-6.21331322e-05
0.001944        	-6.22416399e-05
0.001948        	-6.23499760e-05
0.001952        	-6.24580306e-05
0.001956        	-6.25657704e-05
0.00196         	-6.26733638e-05
0.001964        	-6.27809506e-05
0.001968        	-6.28885798e-05
0.001972        	-6.29962202e-05
0.001976        	-6.31038028e-05
0.00198         	-6.32112405e-05
0.001984        	-6.33184769e-05
0.001988        	-6.34254751e-05
